date,transit_mode,sentiment_category,sentiment_score,comment
2024-02-15,subway,neutral,0.0,Typical NYC subway experience this morning.
2024-02-16,subway,neutral,0.0,Using the subway to get downtown today.
2024-02-17,bike share,neutral,0.0,Taking the bike share to work as usual.
2024-02-18,taxi,neutral,0.0,Typical NYC taxi experience this morning.
2024-02-19,bike share,negative,-0.5,"Avoid the bike share today, total disaster."
2024-02-20,walking,negative,-0.5,NYC needs to improve its walking system ASAP.
2024-02-21,bus,neutral,0.0,Typical NYC bus experience this morning.
2024-02-22,walking,neutral,0.0,Typical NYC walking experience this morning.
2024-02-23,rideshare,neutral,0.0,Taking the rideshare to work as usual.
2024-02-24,bike share,neutral,0.0,Using the bike share to get downtown today.
2024-02-25,bike share,negative,-0.5,"Avoid the bike share today, total disaster."
2024-02-26,walking,positive,0.5,I love the walking in NYC. It's so convenient!
2024-02-27,rideshare,positive,0.5,I love the rideshare in NYC. It's so convenient!
2024-02-28,subway,neutral,0.0,The subway seems to be operating normally.
2024-02-29,rideshare,neutral,0.0,Taking the rideshare to work as usual.
2024-03-01,taxi,neutral,0.0,The taxi seems to be operating normally.
2024-03-02,walking,positive,0.5,NYC walking is improving a lot lately.
2024-03-03,rideshare,positive,0.5,I love the rideshare in NYC. It's so convenient!
2024-03-04,subway,neutral,0.0,Using the subway to get downtown today.
2024-03-05,rideshare,neutral,0.0,Taking the rideshare to work as usual.
2024-03-06,bike share,neutral,0.0,Using the bike share to get downtown today.
2024-03-07,bus,neutral,0.0,Using the bus to get downtown today.
2024-03-08,bike share,neutral,0.0,"The bike share was average today, nothing special."
2024-03-09,bus,neutral,0.0,The bus seems to be operating normally.
2024-03-10,rideshare,neutral,0.0,The rideshare seems to be operating normally.
2024-03-11,taxi,very negative,-1.0,Why is the taxi in NYC so unreliable?
2024-03-12,rideshare,very positive,1.0,Just had a great experience using the rideshare.
2024-03-13,subway,positive,0.5,The subway system is working really well today.
2024-03-14,rideshare,neutral,0.0,The rideshare seems to be operating normally.
2024-03-15,bus,neutral,0.0,The bus seems to be operating normally.
2024-03-16,bike share,very negative,-1.0,"Avoid the bike share today, total disaster."
2024-03-17,taxi,very negative,-1.0,The taxi is always delayed. Frustrated!
2024-03-18,rideshare,negative,-0.5,Why is the rideshare in NYC so unreliable?
2024-03-19,rideshare,neutral,0.0,Using the rideshare to get downtown today.
2024-03-20,bike share,positive,0.5,The new bike share options are making my commute easier.
2024-03-21,taxi,neutral,0.0,Taking the taxi to work as usual.
2024-03-22,walking,neutral,0.0,Typical NYC walking experience this morning.
2024-03-23,rideshare,neutral,0.0,The rideshare seems to be operating normally.
2024-03-24,rideshare,negative,-0.5,Another terrible experience with the rideshare.
2024-03-25,walking,negative,-0.5,"Avoid the walking today, total disaster."
2024-03-26,bus,positive,0.5,NYC bus is improving a lot lately.
2024-03-27,bus,very positive,1.0,The bus system is working really well today.
2024-03-28,subway,neutral,0.0,The subway seems to be operating normally.
2024-03-29,bike share,neutral,0.0,"The bike share was average today, nothing special."
2024-03-30,taxi,very positive,1.0,NYC taxi is improving a lot lately.
2024-03-31,rideshare,very negative,-1.0,NYC needs to improve its rideshare system ASAP.
2024-04-01,rideshare,positive,0.5,I love the rideshare in NYC. It's so convenient!
2024-04-02,subway,neutral,0.0,Using the subway to get downtown today.
2024-04-03,rideshare,neutral,0.0,Typical NYC rideshare experience this morning.
2024-04-04,bike share,negative,-0.5,The bike share is always delayed. Frustrated!
2024-04-05,subway,neutral,0.0,The subway seems to be operating normally.
2024-04-06,bike share,positive,0.5,The new bike share options are making my commute easier.
2024-04-07,subway,negative,-0.5,Another terrible experience with the subway.
2024-04-08,rideshare,neutral,0.0,Taking the rideshare to work as usual.
2024-04-09,subway,negative,-0.5,"Avoid the subway today, total disaster."
2024-04-10,bus,positive,0.5,NYC bus is improving a lot lately.
2024-04-11,taxi,neutral,0.0,The taxi seems to be operating normally.
2024-04-12,rideshare,positive,0.5,NYC rideshare is improving a lot lately.
2024-04-13,walking,neutral,0.0,Using the walking to get downtown today.
2024-04-14,taxi,negative,-0.5,"Avoid the taxi today, total disaster."
2024-04-15,rideshare,very negative,-1.0,"Avoid the rideshare today, total disaster."
2024-04-16,taxi,negative,-0.5,Why is the taxi in NYC so unreliable?
2024-04-17,bus,negative,-0.5,Another terrible experience with the bus.
2024-04-18,taxi,neutral,0.0,Using the taxi to get downtown today.
2024-04-19,subway,very negative,-1.0,Another terrible experience with the subway.
2024-04-20,taxi,neutral,0.0,Typical NYC taxi experience this morning.
2024-04-21,rideshare,neutral,0.0,Taking the rideshare to work as usual.
2024-04-22,walking,neutral,0.0,The walking seems to be operating normally.
2024-04-23,walking,positive,0.5,NYC walking is improving a lot lately.
2024-04-24,bike share,neutral,0.0,"The bike share was average today, nothing special."
2024-04-25,taxi,very positive,1.0,I love the taxi in NYC. It's so convenient!
2024-04-26,walking,negative,-0.5,Why is the walking in NYC so unreliable?
2024-04-27,taxi,neutral,0.0,Typical NYC taxi experience this morning.
2024-04-28,walking,neutral,0.0,Using the walking to get downtown today.
2024-04-29,taxi,neutral,0.0,Using the taxi to get downtown today.
2024-04-30,rideshare,neutral,0.0,"The rideshare was average today, nothing special."
2024-05-01,taxi,neutral,0.0,"The taxi was average today, nothing special."
2024-05-02,rideshare,neutral,0.0,"The rideshare was average today, nothing special."
2024-05-03,rideshare,neutral,0.0,The rideshare seems to be operating normally.
2024-05-04,bike share,very positive,1.0,NYC bike share is improving a lot lately.
2024-05-05,walking,very positive,1.0,I love the walking in NYC. It's so convenient!
2024-05-06,subway,neutral,0.0,Taking the subway to work as usual.
2024-05-07,rideshare,negative,-0.5,Another terrible experience with the rideshare.
2024-05-08,walking,positive,0.5,The walking system is working really well today.
2024-05-09,bus,very positive,1.0,NYC bus is improving a lot lately.
2024-05-10,taxi,negative,-0.5,The taxi is always delayed. Frustrated!
2024-05-11,bus,neutral,0.0,Using the bus to get downtown today.
2024-05-12,taxi,very positive,1.0,Just had a great experience using the taxi.
2024-05-13,bike share,positive,0.5,The new bike share options are making my commute easier.
2024-05-14,rideshare,negative,-0.5,Another terrible experience with the rideshare.
